retailer,retailer_key,store_id,_name,address,full_address,zip_code,latitude,longitude,_phone,geocode_confidence,geocode_source,geocoded_at
Smart & Final,smart_and_final,366,366 - Inglewood - S. Crenshaw Blvd,10100 S CRENSHAW BLVD,"10100 S CRENSHAW BLVD, INGLEWOOD, CA 90303",90303,33.94447,-118.326264,(323) 779-9966,high,api,2026-03-11T22:16:52.822456+00:00
Smart & Final,smart_and_final,484,484 - Los Angeles - S. Figueroa,845 SO. FIGUEROA ST. #100,"845 SO. FIGUEROA ST. #100, LOS ANGELES, CA 90017",90017,34.047257,-118.262399,(213) 629-0039,high,api,2026-03-11T22:17:53.117696+00:00
Smart & Final,smart_and_final,727,727 - Compton,280 EAST COMPTON BLVD,"280 EAST COMPTON BLVD, COMPTON, CA 90220",90220,33.8947517,-118.2208515,(310) 631-6130,high,api,2026-03-11T22:16:56.490247+00:00
Smart & Final,smart_and_final,457,457 - Inglewood - Centinela Ave,1575 CENTINELA AVENUE,"1575 CENTINELA AVENUE, INGLEWOOD, CA 90302",90302,33.976843,-118.366462,(310) 673-4997,high,api,2026-03-11T22:16:51.570701+00:00
Smart & Final,smart_and_final,444,444 - Los Angeles - Midtown,"4550 PICO BLVD, STE D303","4550 PICO BLVD, STE D303, LOS ANGELES, CA 90019",90019,34.0480276,-118.3354677,(323) 549-9586,high,api,2026-03-11T22:17:50.598600+00:00
Smart & Final,smart_and_final,511,511 - Lincoln Heights,2511 DALY STREET,"2511 DALY STREET, LOS ANGELES, CA 90031",90031,34.075214,-118.215786,(323) 539-2400,high,api,2026-03-11T22:17:53.117629+00:00
Smart & Final,smart_and_final,522,522 - Montebello,855 N WILCOX AVENUE,"855 N WILCOX AVENUE, MONTEBELLO, CA 90640",90640,34.030612,-118.125209,(323) 888-4204,high,api,2026-03-11T22:17:53.117550+00:00
Smart & Final,smart_and_final,529,529 - Lawndale,15205 HAWTHORNE BLVD,"15205 HAWTHORNE BLVD, LAWNDALE, CA 90260",90260,33.893454,-118.352874,(310) 973-2355,high,api,2026-03-11T22:16:52.822380+00:00
Smart & Final,smart_and_final,371,371 - Los Angeles - Wilshire Blvd,5555 WILSHIRE BLVD,"5555 WILSHIRE BLVD, LOS ANGELES, CA 90036",90036,34.062444,-118.349583,(323) 939-0946,high,api,2026-03-11T22:17:50.598529+00:00
Smart & Final,smart_and_final,363,363 - Los Angeles - N. Western Ave,939 N. WESTERN AVENUE,"939 N. WESTERN AVENUE, LOS ANGELES, CA 90029",90029,34.087781,-118.309294,(323) 466-9289,high,api,2026-03-11T22:17:50.598509+00:00
Smart & Final,smart_and_final,735,735 - La Cienega Blvd.,1833-B LA CIENEGA BLVD,"1833-B LA CIENEGA BLVD, LOS ANGELES, CA 90035",90035,34.0436499,-118.3769338,(310) 202-0120,high,api,2026-03-11T22:17:50.598619+00:00
Smart & Final,smart_and_final,311,311 - Bellflower,15930 BELLFLOWER BLVD,"15930 BELLFLOWER BLVD, BELLFLOWER, CA 90706",90706,33.888822,-118.125256,(562) 920-6268,high,api,2026-03-11T22:16:56.490254+00:00
Smart & Final,smart_and_final,330,330 - Los Angeles - Venice Blvd,10113 VENICE BLVD,"10113 VENICE BLVD, WEST LOS ANGELES, CA 90034",90034,34.022046,-118.401369,(310) 559-1722,high,api,2026-03-11T22:16:51.570674+00:00
Smart & Final,smart_and_final,745,745 - Long Beach,4480 ATLANTIC AVENUE,"4480 ATLANTIC AVENUE, LONG BEACH, CA 90807",90807,33.8392675,-118.1843988,(562) 216-1767,high,api,2026-03-11T22:16:56.490192+00:00
Smart & Final,smart_and_final,474,474 - W. Hollywood - Fuller Ave,1041 FULLER AVENUE,"1041 FULLER AVENUE, W HOLLYWOOD, CA 90046",90046,34.089724,-118.350016,(323) 876-0421,high,api,2026-03-11T22:17:50.598491+00:00
Smart & Final,smart_and_final,304,304 - Glendale - Verdugo Rd,210 N.VERDUGO ROAD,"210 N.VERDUGO ROAD, GLENDALE, CA 91206",91206,34.148533,-118.235522,(818) 243-4239,high,api,2026-03-11T22:17:53.117675+00:00
Smart & Final,smart_and_final,321,321 - Alhambra,725 E. MAIN STREET,"725 E. MAIN STREET, ALHAMBRA, CA 91801",91801,34.098712,-118.119677,(626) 281-2049,high,api,2026-03-11T22:17:53.117480+00:00
Smart & Final,smart_and_final,370,370 - Pasadena - N. Fair Oaks,401 N FAIR OAKS,"401 N FAIR OAKS, PASADENA, CA 91103",91103,34.152514,-118.150556,(626) 568-8446,high,api,2026-03-11T22:17:53.117581+00:00
Smart & Final,smart_and_final,428,428 - West Glendale,1855 W GLENOAKS BLVD,"1855 W GLENOAKS BLVD, GLENDALE, CA 91201",91201,34.17369,-118.292808,(818) 242-2486,high,api,2026-03-11T22:17:50.598471+00:00
Smart & Final,smart_and_final,485,485 - Pasadena - E. Colorado Blvd,3299 E COLORADO BLVD,"3299 E COLORADO BLVD, PASADENA, CA 91107",91107,34.146383,-118.083114,(626) 396-9677,high,api,2026-03-11T22:17:53.117605+00:00
Smart & Final,smart_and_final,941,941 - Burbank,3830 W VERDUGO AVENUE,"3830 W VERDUGO AVENUE, BURBANK, CA 91505",91505,34.1599713,-118.345117,(818) 954-8631,high,api,2026-03-11T22:17:50.598430+00:00
Smart & Final,smart_and_final,471,471 - Burbank,3708 W. BURBANK BLVD,"3708 W. BURBANK BLVD, BURBANK, CA 91505",91505,34.17456,-118.350337,(818) 562-3234,high,api,2026-03-11T22:17:50.598379+00:00
Smart & Final,smart_and_final,414,414 - Tujunga,6555 FOOTHILL BLVD,"6555 FOOTHILL BLVD, TUJUNGA, CA 91042",91042,34.245842,-118.274616,(818) 352-9399,high,api,2026-03-11T22:17:50.598566+00:00
Smart & Final,smart_and_final,817,817 - Torrance,17500 CRENSHAW BLVD.,"17500 CRENSHAW BLVD., TORRANCE, CA 90504",90504,33.8718293,-118.325728,(310) 538-5329,high,api,2026-03-11T22:16:52.822321+00:00
Smart & Final,smart_and_final,348,348 - Torrance - S. Vermont Ave,21600 S. VERMONT AVENUE,"21600 S. VERMONT AVENUE, TORRANCE, CA 90502",90502,33.81009,-118.290409,(310) 328-3023,high,api,2026-03-11T22:16:56.490205+00:00
Smart & Final,smart_and_final,921,921 - Redondo Beach - PCH,615 N PACIFIC COAST HWY,"615 N PACIFIC COAST HWY, REDONDO BEACH, CA 90277",90277,33.8520437,-118.3902524,(310) 372-2852,high,api,2026-03-11T22:16:52.822366+00:00
Smart & Final,smart_and_final,938,938 - Redondo Beach - S PCH,1516 S PACIFIC COAST HWY,"1516 S PACIFIC COAST HWY, REDONDO BEACH, CA 90277",90277,33.820836,-118.384335,(310) 540-6157,high,api,2026-03-11T22:16:52.822338+00:00
Smart & Final,smart_and_final,458,458 - Torrance - Pacific Coast Highw,2775 PACIFIC COAST HIGHWAY,"2775 PACIFIC COAST HIGHWAY, TORRANCE, CA 90505",90505,33.793697,-118.330965,(310) 539-3526,high,api,2026-03-11T22:16:56.490231+00:00
Smart & Final,smart_and_final,716,716 - Whittier,13003 WHITTIER BLVD,"13003 WHITTIER BLVD, WHITTIER, CA 90602",90602,33.966654,-118.036749,(562) 907-7037,high,api,2026-03-11T22:19:20.008059+00:00
Smart & Final,smart_and_final,482,482 - Whittier,15055 MULBERRY DRIVE,"15055 MULBERRY DRIVE, WHITTIER, CA 90604",90604,33.935597,-118.01037,(562) 941-7282,high,api,2026-03-11T22:19:23.713712+00:00
Smart & Final,smart_and_final,598,598 - Lakewood,4237 WOODRUFF AVENUE,"4237 WOODRUFF AVENUE, LAKEWOOD, CA 90713",90713,33.835304,-118.116674,(562) 429-0500,high,api,2026-03-11T22:19:18.768196+00:00
Smart & Final,smart_and_final,395,395 - Los Angeles - W. Pico Blvd,11221 PICO BLVD,"11221 PICO BLVD, LOS ANGELES, CA 90064",90064,34.03602,-118.437287,(310) 473-0344,high,api,2026-03-11T22:17:50.599126+00:00
Smart & Final,smart_and_final,315,315 - W. Los Angeles - Santa Monica,12210 SANTA MONICA BLVD,"12210 SANTA MONICA BLVD, WEST LOS ANGELES, CA 90025",90025,34.039849,-118.464534,(310) 207-8688,high,api,2026-03-11T22:17:48.083398+00:00
Smart & Final,smart_and_final,374,374 - North Hollywood - N. Laurel Ca,6601 NORTH LAUREL CANYON BLVD,"6601 NORTH LAUREL CANYON BLVD, NORTH HOLLYWOOD, CA 91606",91606,34.19049,-118.396681,(818) 982-6202,high,api,2026-03-11T22:17:50.598452+00:00
Smart & Final,smart_and_final,332,332 - Venice,604 LINCOLN BLVD,"604 LINCOLN BLVD, VENICE, CA 90291",90291,33.999984,-118.464909,(310) 392-4954,high,api,2026-03-11T22:16:51.570593+00:00
Smart & Final,smart_and_final,477,477 - Encino,16847 VENTURA BLVD,"16847 VENTURA BLVD, ENCINO, CA 91436",91436,34.15926,-118.501109,(818) 789-0242,high,api,2026-03-11T22:17:50.598547+00:00
Smart & Final,smart_and_final,440,440 - Long Beach - Atlantic Ave,1320 ATLANTIC AVENUE,"1320 ATLANTIC AVENUE, LONG BEACH, CA 90813",90813,33.783352,-118.184981,(562) 218-0991,high,api,2026-03-11T22:16:56.489992+00:00
Smart & Final,smart_and_final,434,434 - Long Beach,644 N. REDONDO BLVD,"644 N. REDONDO BLVD, LONG BEACH, CA 90814",90814,33.7745371,-118.1524014,(562) 438-0450,high,api,2026-03-11T22:16:56.490177+00:00
Smart & Final,smart_and_final,306,306 - Rancho Palos Verdes,28500 S. WESTERN AVENUE,"28500 S. WESTERN AVENUE, RANCHO PALOS VERDES, CA 90275",90275,33.761057,-118.31197,(310) 832-4179,high,api,2026-03-11T22:16:56.490210+00:00
Smart & Final,smart_and_final,422,422 - La Habra - W. Imperial Hwy,1941 W. IMPERIAL HIGHWAY,"1941 W. IMPERIAL HIGHWAY, LA HABRA, CA 90631",90631,33.917557,-117.966591,(562) 690-4516,high,api,2026-03-11T22:19:23.713671+00:00
Smart & Final,smart_and_final,381,381 - Buena Park,7930 VALLEY VIEW STREET,"7930 VALLEY VIEW STREET, BUENA PARK, CA 90620",90620,33.84747,-118.028304,(714) 521-3680,high,api,2026-03-11T22:19:22.481008+00:00
Smart & Final,smart_and_final,373,373 - El Monte,11110 E RAMONA BLVD,"11110 E RAMONA BLVD, EL MONTE, CA 91731",91731,34.072698,-118.0319,(626) 443-1381,high,api,2026-03-11T22:17:53.117654+00:00
Smart & Final,smart_and_final,324,324 - Woodland Hills,22631 VENTURA BLVD,"22631 VENTURA BLVD, WOODLAND HILLS, CA 91364",91364,34.167347,-118.619534,(818) 225-9590,high,api,2026-03-11T22:17:41.807118+00:00
Smart & Final,smart_and_final,512,512 - Winnetka,7224 MASON AVENUE,"7224 MASON AVENUE, WINNETKA, CA 91306",91306,34.201842,-118.579554,(818) 274-0111,high,api,2026-03-11T22:19:38.500351+00:00
Smart & Final,smart_and_final,923,923 - San Pedro,1636 WEST 25TH STREET,"1636 WEST 25TH STREET, SAN PEDRO, CA 90732",90732,33.7240337,-118.3135015,(310) 831-3631,high,api,2026-03-11T22:16:56.490214+00:00
Smart & Final,smart_and_final,317,317 - La Puente,15427 AMAR ROAD,"15427 AMAR ROAD, LA PUENTE, CA 91744",91744,34.0374388,-117.9487145,(626) 330-2495,high,api,2026-03-11T22:16:59.028927+00:00
Smart & Final,smart_and_final,367,367 - Covina,114 N. AZUSA AVENUE,"114 N. AZUSA AVENUE, COVINA, CA 91722",91722,34.086717,-117.907584,(626) 915-6619,high,api,2026-03-11T22:16:59.028896+00:00
Smart & Final,smart_and_final,594,594 - Stanton,7050 KATELLA AVENUE,"7050 KATELLA AVENUE, STANTON, CA 90680",90680,33.802696,-118.010114,(714) 799-2058,high,api,2026-03-11T22:19:22.480957+00:00
Smart & Final,smart_and_final,313,313 - Anaheim,630 N. EUCLID STREET,"630 N. EUCLID STREET, ANAHEIM, CA 92801",92801,33.840278,-117.941464,(714) 956-7981,high,api,2026-03-11T22:19:23.713641+00:00
Smart & Final,smart_and_final,746,746 - Duarte,1193 HUNTINGTON DRIVE,"1193 HUNTINGTON DRIVE, DUARTE, CA 91010",91010,34.1406729,-117.9791082,(626) 256-0108,high,api,2026-03-11T22:17:53.117741+00:00
Smart & Final,smart_and_final,794,794 - Azusa,303 E. FOOTHILL BLVD.,"303 E. FOOTHILL BLVD., AZUSA, CA 91702",91702,34.1334709,-117.9048485,(626) 334-5189,high,api,2026-03-11T22:16:59.028879+00:00
Smart & Final,smart_and_final,305,305 - San Dimas,1005 W. ARROW HIGHWAY,"1005 W. ARROW HIGHWAY, SAN DIMAS, CA 91773",91773,34.1079885,-117.8273683,(909) 592-2190,high,api,2026-03-11T22:16:59.028956+00:00
Smart & Final,smart_and_final,323,323 - San Fernando,2040 GLENOAKS BLVD,"2040 GLENOAKS BLVD, SAN FERNANDO, CA 91340",91340,34.2984608,-118.4390914,(818) 838-9187,high,api,2026-03-11T22:17:50.599030+00:00
Smart & Final,smart_and_final,460,460 - Granada Hills,16210 DEVONSHIRE STREET,"16210 DEVONSHIRE STREET, GRANADA HILLS, CA 91344",91344,34.25728,-118.485188,(818) 892-3338,high,api,2026-03-11T22:17:50.598639+00:00
Smart & Final,smart_and_final,919,919 - Westlake Village,5770 LINDERO CANYON ROAD,"5770 LINDERO CANYON ROAD, WESTLAKE VILLAGE, CA 91362",91362,34.1539947,-118.7947357,(818) 889-8253,high,api,2026-03-11T22:19:39.870657+00:00
Smart & Final,smart_and_final,917,917 - Simi Valley,5135 LOS ANGELES AVENUE,"5135 LOS ANGELES AVENUE, SIMI VALLEY, CA 93063",93063,34.272758,-118.692668,(805) 520-6035,high,api,2026-03-11T22:19:39.870602+00:00
Smart & Final,smart_and_final,420,420 - Northridge,18555 DEVONSHIRE STREET,"18555 DEVONSHIRE STREET, NORTHRIDGE, CA 91324",91324,34.2583994,-118.5378051,(818) 368-6409,high,api,2026-03-11T22:19:38.500334+00:00
Smart & Final,smart_and_final,465,465 - Simi Valley,1856  ERRINGER ROAD #B,"1856  ERRINGER ROAD #B, SIMI VALLEY, CA 93065",93065,34.270453,-118.761231,(805) 582-9231,high,api,2026-03-11T22:19:39.870528+00:00
Smart & Final,smart_and_final,468,468 - Santa Clarita,23640-B LYONS AVENUE,"23640-B LYONS AVENUE, NEWHALL, CA 91321",91321,34.379163,-118.54774,(661) 255-9822,high,api,2026-03-11T22:19:38.500366+00:00
Smart & Final,smart_and_final,483,483 - Valencia,28207 NEWHALL RANCH ROAD,"28207 NEWHALL RANCH ROAD, VALENCIA, CA 91355",91355,34.442851,-118.577275,(661) 775-1416,high,api,2026-03-11T22:17:46.831780+00:00
Smart & Final,smart_and_final,918,918 - Newbury Park,2100 NEWBURY ROAD,"2100 NEWBURY ROAD, NEWBURY PARK, CA 91320",91320,34.1826736,-118.9239029,(805) 375-0400,high,api,2026-03-11T22:19:28.552194+00:00
Smart & Final,smart_and_final,525,525 - Moorpark,864 LOS ANGELES AVENUE,"864 LOS ANGELES AVENUE, MOORPARK, CA 93020",93020,34.281013,-118.865471,(805) 523-2136,high,api,2026-03-11T22:19:39.870631+00:00
Smart & Final,smart_and_final,400,400 - Camarillo,389 ARNEILL ROAD,"389 ARNEILL ROAD, CAMARILLO, CA 93010",93010,34.2209,-119.039134,(805) 383-1020,high,api,2026-03-11T22:19:37.268385+00:00
Smart & Final,smart_and_final,467,467 - Rancho Cucamonga,8675 BASELINE ROAD,"8675 BASELINE ROAD, RANCHO CUCAMONGA, CA 91730",91730,34.121421,-117.616803,(909) 948-5366,high,api,2026-03-11T22:18:34.259543+00:00
Smart & Final,smart_and_final,408,408 - Ontario,1337 4TH STREET,"1337 4TH STREET, ONTARIO, CA 91764",91764,34.0776937,-117.6273016,(909) 988-8700,high,api,2026-03-11T22:18:34.259534+00:00
Smart & Final,smart_and_final,707,707 - Upland,1028 N MOUNTAIN AVENUE,"1028 N MOUNTAIN AVENUE, UPLAND, CA 91786",91786,34.107755,-117.668527,(909) 981-0250,high,api,2026-03-11T22:17:51.842739+00:00
Smart & Final,smart_and_final,494,494 - Chino - Central Ave,12164 CENTRAL AVENUE,"12164 CENTRAL AVENUE, CHINO, CA 91710",91710,34.032677,-117.68971,(909) 627-7687,high,api,2026-03-11T22:17:51.842754+00:00
Smart & Final,smart_and_final,308,308 - Pomona,160 W WILLOW STREET,"160 W WILLOW STREET, POMONA, CA 91768",91768,34.078935,-117.753628,(909) 622-3321,high,api,2026-03-11T22:17:51.842766+00:00
Smart & Final,smart_and_final,353,353 - Fontana,17000 FOOTHILL BLVD,"17000 FOOTHILL BLVD, FONTANA, CA 92335",92335,34.106765,-117.433603,(909) 429-9800,high,api,2026-03-11T22:19:00.723413+00:00
Smart & Final,smart_and_final,930,930 - El Cajon,13439 CAMINO CANADA,"13439 CAMINO CANADA, EL CAJON, CA 92021",92021,32.8239354,-116.9037052,(619) 390-1738,high,api,2026-03-11T22:18:16.816731+00:00
Smart & Final,smart_and_final,368,368 - San Diego - Clairmont Mesa Blv,5195 CLAIREMONT MESA BLVD,"5195 CLAIREMONT MESA BLVD, SAN DIEGO, CA 92117",92117,32.834216,-117.179216,(858) 541-2090,high,api,2026-03-11T22:18:20.532370+00:00
Smart & Final,smart_and_final,833,833 - San Diego - Rosecrans,3705 ROSECRANS ST,"3705 ROSECRANS ST, SAN DIEGO, CA 92110",92110,32.751130462240056,-117.20359023417298,(619) 344-2179,high,api,2026-03-11T22:18:18.081911+00:00
Smart & Final,smart_and_final,933,933 - San Diego - Tierrasanta Blvd,10633 TIERRASANTA BLVD,"10633 TIERRASANTA BLVD, SAN DIEGO, CA 92124",92124,32.821213,-117.101218,(858) 565-4560,high,api,2026-03-11T22:18:20.532355+00:00
Smart & Final,smart_and_final,932,932 - San Diego - Westview Pkwy,10740 WESTVIEW PARKWAY,"10740 WESTVIEW PARKWAY, SAN DIEGO, CA 92126",92126,32.9154641,-117.1223134,(858) 578-7343,high,api,2026-03-11T22:18:20.532293+00:00
Smart & Final,smart_and_final,940,940 - San Diego - University Ave,2235 UNIVERSITY AVENUE,"2235 UNIVERSITY AVENUE, SAN DIEGO, CA 92104",92104,32.748038,-117.1404077,(619) 291-1842,high,api,2026-03-11T22:18:21.664085+00:00
Smart & Final,smart_and_final,599,599 - Vista,1845 W VISTA WAY,"1845 W VISTA WAY, VISTA, CA 92083",92083,33.189115,-117.281055,(760) 732-1480,high,api,2026-03-11T22:18:02.904071+00:00
Smart & Final,smart_and_final,426,426 - Oceanside,1737 OCEANSIDE BLVD.,"1737 OCEANSIDE BLVD., OCEANSIDE, CA 92054",92054,33.191437,-117.360272,(760) 439-3489,high,api,2026-03-11T22:18:02.904149+00:00
Smart & Final,smart_and_final,928,928 - Carlsbad,955 CARLSBAD VILLAGE DRIVE,"955 CARLSBAD VILLAGE DRIVE, CARLSBAD, CA 92008",92008,33.1619179,-117.3434297,(760) 434-2449,high,api,2026-03-11T22:18:02.904133+00:00
Smart & Final,smart_and_final,929,929 - Santee,9870  MAGNOLIA AVENUE,"9870  MAGNOLIA AVENUE, SANTEE, CA 92071",92071,32.8564095,-116.9721521,(619) 449-2396,high,api,2026-03-11T22:18:20.532383+00:00
Smart & Final,smart_and_final,398,398 - El Cajon-Fletcher Pkwy/Marshall Ave,1090 FLETCHER PARKWAY,"1090 FLETCHER PARKWAY, EL CAJON, CA 92020",92020,32.809405,-116.975476,(619) 562-4151,high,api,2026-03-11T22:18:21.664125+00:00
Smart & Final,smart_and_final,931,931 - El Cajon - Fletcher Pkwy/Navajo Rd,2800 FLETCHER PARKWAY,"2800 FLETCHER PARKWAY, EL CAJON, CA 92020",92020,32.8008607,-117.0038297,(619) 589-7000,high,api,2026-03-11T22:18:21.664111+00:00
Smart & Final,smart_and_final,934,934 - La Mesa,3681 AVOCADO BLVD,"3681 AVOCADO BLVD, LA MESA, CA 91941",91941,32.7465995,-116.9587099,(619) 660-0611,high,api,2026-03-11T22:18:21.664072+00:00
Smart & Final,smart_and_final,355,355 - San Diego - El Cajon Blvd/62nd St,6235 EL CAJON BLVD,"6235 EL CAJON BLVD, SAN DIEGO, CA 92115",92115,32.76312,-117.063952,(619) 286-0688,high,api,2026-03-11T22:18:21.664058+00:00
Smart & Final,smart_and_final,581,581 - Poway,12339 POWAY ROAD,"12339 POWAY ROAD, POWAY, CA 92064",92064,32.9507588,-117.063532,(858) 748-0101,high,api,2026-03-11T22:18:20.532338+00:00
Smart & Final,smart_and_final,725,725 - Spring Valley,933 SWEETWATER ROAD,"933 SWEETWATER ROAD, SPRING VALLEY, CA 91977",91977,32.712716,-117.011101,(619) 668-9039,high,api,2026-03-11T22:18:21.664030+00:00
Smart & Final,smart_and_final,488,488 - San Marcos,770 W. SAN MARCOS BLVD,"770 W. SAN MARCOS BLVD, SAN MARCOS, CA 92069",92069,33.13683,-117.181089,(760) 510-1855,high,api,2026-03-11T22:18:02.904114+00:00
Smart & Final,smart_and_final,427,427 - Encinitas,479 ENCINITAS BLVD.,"479 ENCINITAS BLVD., ENCINITAS, CA 92024",92024,33.046912,-117.282449,(760) 753-6760,high,api,2026-03-11T22:18:00.525112+00:00
Smart & Final,smart_and_final,360,360 - Escondido,395 N ESCONDIDO BLVD,"395 N ESCONDIDO BLVD, ESCONDIDO, CA 92025",92025,33.123207,-117.086439,(760) 746-5490,high,api,2026-03-11T22:18:00.525125+00:00
Smart & Final,smart_and_final,935,935 - Coronado,150 B AVENUE,"150 B AVENUE, CORONADO, CA 92118",92118,32.6973465,-117.1711954,(619) 522-2014,high,api,2026-03-11T22:18:21.664098+00:00
Smart & Final,smart_and_final,347,347 - National City,1220 PLAZA BLVD,"1220 PLAZA BLVD, NATIONAL CITY, CA 91950",91950,32.677013,-117.093728,(619) 477-4126,high,api,2026-03-11T22:18:22.983734+00:00
Smart & Final,smart_and_final,742,742 - Chula Vista,40 N 4TH AVENUE UNIT D,"40 N 4TH AVENUE UNIT D, CHULA VISTA, CA 91910",91910,32.6514452,-117.0899404,(619) 691-0007,high,api,2026-03-11T22:18:22.983716+00:00
Smart & Final,smart_and_final,936,936 - Chula Vista,360 EAST H STREET,"360 EAST H STREET, CHULA VISTA, CA 91910",91910,32.6393081,-117.0510742,(619) 427-2996,high,api,2026-03-11T22:18:22.983671+00:00
Smart & Final,smart_and_final,718,718 - Coachella,49978 HARRISON STREET,"49978 HARRISON STREET, COACHELLA, CA 92236",92236,33.686189,-116.180397,(760) 398-9793,high,api,2026-03-11T22:18:24.241032+00:00
Smart & Final,smart_and_final,490,490 - La Quinta,79-770 HIGHWAY 111,"79-770 HIGHWAY 111, LA QUINTA, CA 92253",92253,33.71461,-116.294309,(760) 342-1646,high,api,2026-03-11T22:18:24.241095+00:00
Smart & Final,smart_and_final,331,331 - Banning,2971 W. RAMSEY STREET,"2971 W. RAMSEY STREET, BANNING, CA 92220",92220,33.925887,-116.909123,(951) 849-5658,high,api,2026-03-11T22:19:13.022685+00:00
Smart & Final,smart_and_final,354,354 - Hesperia,15111 BEAR VALLEY ROAD,"15111 BEAR VALLEY ROAD, HESPERIA, CA 92345",92345,34.470401,-117.333705,(760) 947-9217,high,api,2026-03-11T22:18:44.213974+00:00
